"LANGUAGE","Türkçe",""
"MOD_DESCRIPTION","Oyuna özel radyo istasyonları ekler",""
"WHATSNEW_L1","Bu mesaj sadece modun güncellendiğini bildirmek içindir.",""
"WHATSNEW_L2","Değişikliklerin ayrıntılı listesi için lütfen Steam Workshop veya GitHubı ziyaret edin.",""
"WHATSNEW_L3","Kullanımınız ve desteğiniz için teşekkür ederiz!",""
"ERROR","Olamaz! Bir şeyler yanlış gitti:",""
"ERROR_COPY","Kopyala",""
"ERROR_SUPPORT","Destek",""
"TAB_INFO","Bilgi",""
"TAB_CHANNELS","Kanallar",""
"TAB_CONT","İçerik",""
"TAB_SHORTCUTS","Kısayollar",""
"TAB_UI","Kullanıcı Arayüzü",""
"PERF","Performans",""
"PERF_TIP","Performans sorunları yaşıyorsanız, yıldız işareti (*) ile işaretlenmiş özellikleri devre dışı bırakmayı deneyebilirsiniz.",""
"CHANNELS_CONT","Kanallar ve İçerik",""
"CHANNELS_CONT_TIP","Müzik paketleri kurarak, istasyon yapılandırmalarını veya müzik dosyalarını ""CSLMusicMod_Music"" klasörüne veya vanilya radyo içeriğini içeren klasöre koyarak kendi kanallarınızı veya müziklerinizi ekleyebilirsiniz.",""
"TRBL","Sorun Giderme",""
"TRBL_TIP","CSL Music Mod Wiki'de ve Steam Workshop girişinde bilgi bulabilirsiniz.
Bir günlük sağlamak istiyorsanız aşağıdaki ayarı etkinleştirmeyi unutmayın.",""
"VANILLA_CHANNELS","Vanilya kanallarını yönet",""
"MUSIC_PACKS","Müzik paketleri (Yeniden yükleme gerekir)",""
"ENABLE_MUSIC_PACKS","Müzik paketlerinden müzik kullan",""
"CREATE_CHANNELS_FROM_LEGACY","Kullanılmayan müzik dosyalarından kanal oluştur",""
"CHANNEL_ALL_CONT","Tüm içerikleri içeren kanal (Yeniden yükleme gerekir)",""
"CREATE_MIX_CHANNEL","""CSLMusic Mix"" kanalı oluştur",""
"INCLUDE_VANILLA_SONGS","Vanilya şarkıları dahil et",""
"INCLUDE_MUSIC","Müzik dahil et",""
"INCLUDE_BLURBS","Jingle'ları dahil et",""
"INCLUDE_TALKS","Konuşmaları dahil et",""
"INCLUDE_COMMERCIALS","Reklamları dahil et",""
"INCLUDE_BROADCASTS","Yayınları dahil et",""
"ADD_FEAT","Ek özellikler",""
"DISABLED_CONT","İçerik devre dışı bırakılabilir",""
"CONT_SENS","Bağlama duyarlı içerik",""
"SMOOTH_TRANS","Yumuşak geçişler",""
"ADD_CONT_TO_VANILLA","Vanilya istasyonlarını özel içerikle genişlet (Yeniden yükleme gerekir)",""
"RESET_DISABLED","Devre dışı bırakılan içerikleri sıfırla",""
"RADIO_CONT","Radyo istasyonu içeriği (Yeniden yükleme gerekir)",""
"ENABLE_MUSIC","Müziği etkinleştir",""
"ENABLE_BLURBS","Jingle'ları etkinleştir",""
"ENABLE_TALKS","Konuşmaları etkinleştir",""
"ENABLE_COMMERCIALS","Reklamları etkinleştir",""
"ENABLE_BROADCASTS","Yayınları etkinleştir",""
"SHOUTCUT_OPENPLAYLIST","Çalma listesini ve ayarları aç",""
"SHOUTCUT_NEXTTRACK","Sonraki parça",""
"SHOUTCUT_NEXTSTATION","Sonraki istasyon",""
"ENABLE_PLAYLIST","Çalma listesini etkinleştir*",""
"IMPROVED_RADIO_SELECTION","Gelişmiş radyo istasyonu seçimi (Yeniden yükleme gerekir)",""
"OPEN_DIR","İstasyon dizini düğmesini aç",""
"DISABLE_CONT_CHECKBOXES","İçeriği devre dışı bırakmak için onay kutuları",""
"VOLUMESLIDER","Müzik ses seviyesini değiştirmek için sürükle",""
"SORT_ASCEND","Artan sırala",""
"SORT_DESCEND","Azalan sırala",""
"CLOSE_PANEL","Bu paneli kapat",""
"SHOW_PLAYLIST","Çalma listesini gösterir/gizler",""
"BUTTON_OPENDIR","Radyo istasyonunu içeren klasörü aç.",""
"NOT_RADIO","Bu kanal bir radyo kanalı değildir. Özel müzikleriniz ""Kullanıcı Tanımlı"", ""CSLMusic Mix"" ve müzik paketleri tarafından oluşturulan kanallarda bulunabilir.",""
"NO_RESULTS","Sonuç bulunamadı.",""
"DISABLE_CONT_CHECKBOXES_TIP","Bir girdiyi devre dışı bırakmak için çift tıklayın.",""
"USERDEFINED","Kullanıcı Tanımlı",""
"CSLMUSIC_MIX","CSLMusic Mix",""
"RESET_SETTINGS","Ayarları Sıfırla",""
